等级,生命,攻击,防御
1,136.2,24.8,13.4
2,152.6,27.7,14.8
3,169.3,30.6,16.3
4,186.4,33.6,17.8
5,203.8,36.6,19.3
6,221.4,39.7,20.8
7,239.3,42.8,22.4
8,257.6,46.0,24.0
9,276.1,49.2,25.6
10,295.0,52.5,27.2
11,314.1,55.8,28.9
12,333.6,59.2,30.5
13,353.4,62.6,32.2
14,373.4,66.1,34.0
15,393.8,69.6,35.7
16,414.4,73.2,37.5
17,435.4,76.8,39.3
18,456.6,80.5,41.1
19,478.1,84.2,42.9
20,500.0,88.0,44.8
21,522.1,91.8,46.7
22,544.6,95.7,48.6
23,567.4,99.6,50.5
24,590.4,103.6,52.5
25,613.8,107.6,54.5
26,637.4,111.7,56.5
27,661.4,115.8,58.5
28,685.6,120.0,60.6
29,710.1,124.2,62.7
30,735.0,128.5,64.8
31,760.1,132.8,66.9
32,785.6,137.2,69.1
33,811.4,141.6,71.3
34,837.4,146.1,73.5
35,863.8,150.6,75.7
36,890.4,155.2,78.0
37,917.4,159.8,80.2
38,944.6,164.5,82.5
39,972.1,169.2,84.9
40,1000.0,174.0,87.2
41,1028.2,178.8,89.6
42,1056.6,183.7,92.0
43,1085.3,188.6,94.4
44,1114.4,193.6,96.8
45,1143.8,198.6,99.3
46,1173.4,203.7,101.8
47,1203.3,208.8,104.3
48,1233.6,214.0,106.8
49,1264.2,219.2,109.4
50,1295.0,224.5,112.0
51,1326.2,229.8,114.6
52,1357.6,235.2,117.2
53,1389.3,240.6,119.9
54,1421.4,246.1,122.6
55,1453.8,251.6,125.3
56,1486.4,257.2,128.0
57,1519.3,262.8,130.8
58,1552.6,268.5,133.6
59,1586.2,274.2,136.4
60,1620.0,280.0,139.2
61,1654.2,285.8,142.1
62,1688.6,291.7,144.9
63,1723.3,297.6,147.8
64,1758.4,303.6,150.8
65,1793.8,309.6,153.7
66,1829.4,315.7,156.7
67,1865.3,321.8,159.7
68,1901.6,328.0,162.7
69,1938.2,334.2,165.7
70,1975.0,340.5,168.8
71,2012.2,346.8,171.9
72,2049.6,353.2,175.0
73,2087.3,359.6,178.1
74,2125.4,366.1,181.3
75,2163.8,372.6,184.5
76,2202.4,379.2,187.7
77,2241.3,385.8,190.9
78,2280.6,392.5,194.2
79,2320.2,399.2,197.5
80,2360.0,406.0,200.8
